Report_Month,Reserve_Category,Amount_USD,Allocation_Share,Original_Label,Page,Table,Report_URL,Extraction_Method
2021-05-01,Cash_and_Cash_Equivalents,13400000000.0,0.61,Cash & Cash Equivalents 1,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-05-01,Yankee_CDs,2900000000.0,0.13,Yankee CDs 2,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-05-01,US_Treasuries,2700000000.0,0.12,US Treasuries 3,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-05-01,Commercial_Paper,2000000000.0,0.09,Commercial Paper 4,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-05-01,Corporate_Bonds,1100000000.0,0.05,Corporate Bonds 5,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-05-01,Municipal_Bonds_and_US_Agencies,100000000.0,0.002,Municipal Bonds & US Agencies,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,official_pdf_table
2021-06-01,Cash_and_Cash_Equivalents,11700000000.0,0.46,Cash & Cash Equivalents 1,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,official_pdf_table
2021-06-01,Corporate_Bonds,4000000000.0,0.16,Corporate Bonds 2,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,official_pdf_table
2021-06-01,Yankee_CDs,3700000000.0,0.15,Yankee CDs 3,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,official_pdf_table
2021-06-01,US_Treasuries,3300000000.0,0.13,US Treasuries 4,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,official_pdf_table
2021-06-01,Commercial_Paper,2400000000.0,0.1,Commercial Paper 5,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,official_pdf_table
2021-07-01,Cash_and_Cash_Equivalents,13000000000.0,0.47,Cash & Cash Equivalents,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2021-07-01,Corporate_Bonds,4500000000.0,0.16,Corporate Bonds,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2021-07-01,Yankee_CDs,4099999999.9999995,0.15,Yankee CDs,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2021-07-01,US_Treasuries,3400000000.0,0.13,US Treasuries,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2021-07-01,Commercial_Paper,2200000000.0,0.08,Commercial Paper,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2021-08-01,Cash_and_Cash_Equivalents,25300000000.0,0.92,Cash & Cash Equivalents,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,official_pdf_table
2021-08-01,Corporate_Bonds,400000000.0,0.01,Corporate Bonds,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,official_pdf_table
2021-08-01,Yankee_CDs,1300000000.0,0.05,Yankee CDs,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,official_pdf_table
2021-08-01,Commercial_Paper,500000000.0,0.02,Commercial Paper,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,official_pdf_table
2021-09-01,Cash_and_Cash_Equivalents,31700000000.0,1.0,Cash & Cash Equivalents,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,official_pdf_table
2021-09-01,Corporate_Bonds,,0.0,Corporate Bonds,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,official_pdf_table
2021-09-01,Yankee_CDs,,0.0,Yankee CDs,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,official_pdf_table
2021-09-01,Commercial_Paper,,0.0,Commercial Paper,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,official_pdf_table
2021-10-01,Cash_and_Cash_Equivalents,33000000000.0,1.0,Cash & Cash Equivalents,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,official_pdf_table
2021-10-01,Corporate_Bonds,,0.0,Corporate Bonds,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,official_pdf_table
2021-10-01,Yankee_CDs,,0.0,Yankee CDs,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,official_pdf_table
2021-10-01,Commercial_Paper,,0.0,Commercial Paper,4,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2021/2021%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,official_pdf_table
2022-07-01,Total_Reserves,54618693479.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,official_pdf_table
2022-08-01,Total_Reserves,52430816552.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,official_pdf_table
2022-09-01,Total_Reserves,47479523936.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,official_pdf_table
2022-10-01,Total_Reserves,43754958453.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,official_pdf_table
2022-11-01,Total_Reserves,43404329767.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20November.pdf,official_pdf_table
2022-11-01,US_Treasuries,19419592530.0,,TOTAL U.S. TREASURY SECURITIES,5,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20November.pdf,official_pdf_table
2022-12-01,Total_Reserves,44693963701.0,,Fair value of assets in USDC reserve:,3,1,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20December.pdf,official_pdf_table
2023-01-01,USDC_in_Circulation,42288053870.0,,USDC in Circulation (as defined in the criteria below),2,2,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023%20USDC_Circle%20Examination%20Report%20January%202023.pdf,official_pdf_table
2023-01-01,Total_Reserves,42335734074.0,,Fair Value of Assets Held in USDC Reserve (as defined in the criteria below),2,2,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023%20USDC_Circle%20Examination%20Report%20January%202023.pdf,official_pdf_table
